,low_level_data,low_level_values
185,lowlevel_silence_rate_60dB_dvar2,0.0405537076294
186,lowlevel_silence_rate_60dB_max,1
187,lowlevel_silence_rate_60dB_mean,0.0870018228889
188,lowlevel_silence_rate_60dB_median,0
189,lowlevel_silence_rate_60dB_min,0
190,lowlevel_silence_rate_60dB_var,0.079431347549
191,lowlevel_spectral_centroid_dmean,247.01348877
192,lowlevel_spectral_centroid_dmean2,379.758209229
193,lowlevel_spectral_centroid_dvar,94818.0390625
194,lowlevel_spectral_centroid_dvar2,220693.765625
195,lowlevel_spectral_centroid_max,11838.609375
196,lowlevel_spectral_centroid_mean,1261.01171875
197,lowlevel_spectral_centroid_median,1185.40966797
198,lowlevel_spectral_centroid_min,223.340637207
199,lowlevel_spectral_centroid_var,596974.125
200,lowlevel_spectral_complexity_dmean,3.4826104641
201,lowlevel_spectral_complexity_dmean2,5.16701412201
202,lowlevel_spectral_complexity_dvar,15.2105989456
203,lowlevel_spectral_complexity_dvar2,29.246887207
204,lowlevel_spectral_complexity_max,61
205,lowlevel_spectral_complexity_mean,18.3207874298
206,lowlevel_spectral_complexity_median,19
207,lowlevel_spectral_complexity_min,0
208,lowlevel_spectral_complexity_var,101.436401367
209,lowlevel_spectral_decrease_dmean,2.26293983552e-09
210,lowlevel_spectral_decrease_dmean2,3.41320083308e-09
211,lowlevel_spectral_decrease_dvar,9.36051643235e-18
212,lowlevel_spectral_decrease_dvar2,2.21104715991e-17
213,lowlevel_spectral_decrease_max,1.34742620956e-28
214,lowlevel_spectral_decrease_mean,-6.14115513997e-09
215,lowlevel_spectral_decrease_median,-5.37961586389e-09
216,lowlevel_spectral_decrease_min,-2.997968096e-08
217,lowlevel_spectral_decrease_var,2.08325685426e-17
218,lowlevel_spectral_energy_dmean,0.00890370085835
219,lowlevel_spectral_energy_dmean2,0.0133304046467
220,lowlevel_spectral_energy_dvar,0.000138772258651
221,lowlevel_spectral_energy_dvar2,0.000323175714584
222,lowlevel_spectral_energy_max,0.116705782712
223,lowlevel_spectral_energy_mean,0.0251655559987
224,lowlevel_spectral_energy_median,0.0222192555666
225,lowlevel_spectral_energy_min,9.9338066544e-21
226,lowlevel_spectral_energy_var,0.000334666314302
227,lowlevel_spectral_energyband_high_dmean,0.000430126703577
228,lowlevel_spectral_energyband_high_dmean2,0.000582747336011
229,lowlevel_spectral_energyband_high_dvar,1.32549780574e-06
230,lowlevel_spectral_energyband_high_dvar2,2.6748007258e-06
231,lowlevel_spectral_energyband_high_max,0.0408168584108
232,lowlevel_spectral_energyband_high_mean,0.000924074323848
233,lowlevel_spectral_energyband_high_median,0.000307242153212
234,lowlevel_spectral_energyband_high_min,7.17486931364e-21
235,lowlevel_spectral_energyband_high_var,3.44317140843e-06
236,lowlevel_spectral_energyband_low_dmean,0.00442806910723
237,lowlevel_spectral_energyband_low_dmean2,0.00750040123239
238,lowlevel_spectral_energyband_low_dvar,8.28542688396e-05
239,lowlevel_spectral_energyband_low_dvar2,0.000217223903746
240,lowlevel_spectral_energyband_low_max,0.0706124007702
241,lowlevel_spectral_energyband_low_mean,0.00522342603654
242,lowlevel_spectral_energyband_low_median,0.00134223012719
243,lowlevel_spectral_energyband_low_min,1.94255735733e-23
244,lowlevel_spectral_energyband_low_var,9.23197876546e-05
245,lowlevel_spectral_energyband_middle_high_dmean,0.00238069170155
246,lowlevel_spectral_energyband_middle_high_dmean2,0.00363909848966
247,lowlevel_spectral_energyband_middle_high_dvar,1.1954157344e-05
248,lowlevel_spectral_energyband_middle_high_dvar2,2.73423956969e-05
249,lowlevel_spectral_energyband_middle_high_max,0.0557659715414
250,lowlevel_spectral_energyband_middle_high_mean,0.00676744058728
251,lowlevel_spectral_energyband_middle_high_median,0.00434807455167
252,lowlevel_spectral_energyband_middle_high_min,1.31860516115e-21
253,lowlevel_spectral_energyband_middle_high_var,5.37664636795e-05
254,lowlevel_spectral_energyband_middle_low_dmean,0.00580435106531
255,lowlevel_spectral_energyband_middle_low_dmean2,0.00904081296176
